date,fund_label,scheme_code,scheme_name,nav,source,source_quality
2018-06-08,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.3587,MFAPI,CACHE_FRESH
2018-06-11,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.6842,MFAPI,CACHE_FRESH
2018-06-12,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.9991,MFAPI,CACHE_FRESH
2018-06-13,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.8869,MFAPI,CACHE_FRESH
2018-06-14,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.8261,MFAPI,CACHE_FRESH
2018-06-15,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.6765,MFAPI,CACHE_FRESH
2018-06-18,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,45.4226,MFAPI,CACHE_FRESH
2018-06-19,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,44.8699,MFAPI,CACHE_FRESH
2018-06-20,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,44.8592,MFAPI,CACHE_FRESH
2018-06-21,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,44.5544,MFAPI,CACHE_FRESH
2018-06-22,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,44.5314,MFAPI,CACHE_FRESH
2018-06-25,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,44.1431,MFAPI,CACHE_FRESH
2018-06-26,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,43.8401,MFAPI,CACHE_FRESH
2018-06-27,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,43.1256,MFAPI,CACHE_FRESH
2018-06-28,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,42.7731,MFAPI,CACHE_FRESH
2018-06-29,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,43.4856,MFAPI,CACHE_FRESH
2018-07-02,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,43.0767,MFAPI,CACHE_FRESH
2018-07-03,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,43.3209,MFAPI,CACHE_FRESH
2018-07-04,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,43.3463,MFAPI,CACHE_FRESH
2018-07-05,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,43.1683,MFAPI,CACHE_FRESH
2018-07-06,Nippon India Small Cap,118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,43.4865,MFAPI,CACHE_FRESH
